tiempo,SH,SCH,SHMM,SHMP,SH-BL,SCH-BL,SHMM-BL,SHMP-BL
0.375,11958.4,11050.4,13261.0,14600.0,9015.4,8889.6,9038.4,8931.2
0.389,11958.4,11050.4,13139.2,14600.0,9015.4,8889.6,9038.4,8931.2
0.39,11940.2,11050.4,12954.0,14600.0,9015.4,8889.6,9038.2,8928.2
0.405,11940.2,11050.4,12931.0,14554.8,9011.4,8889.2,9037.4,8923.6
0.406,11940.2,11050.4,12897.4,14554.8,9011.4,8888.6,9034.6,8922.0
0.421,11868.4,11040.8,12822.2,14536.8,9011.4,8885.2,9019.6,8917.6
0.422,11868.4,11040.8,12822.2,14536.8,9009.4,8885.2,9019.6,8917.6
0.436,11868.4,11038.8,12822.2,14536.8,9006.4,8884.4,9019.6,8917.6
0.437,11868.4,11019.8,12753.2,14536.8,9006.4,8882.4,9019.6,8912.4
0.452,11841.6,11011.0,12714.8,14502.2,9006.4,8881.8,9003.8,8904.6
0.452,11841.6,11001.6,12714.8,14502.2,9006.4,8881.8,9003.8,8904.6
0.468,11711.0,10992.0,12703.0,14502.2,9006.4,8880.8,9003.8,8904.6
0.483,11711.0,10992.0,12638.8,14488.2,9006.4,8880.8,9003.8,8904.6
0.484,11711.0,10992.0,12638.8,14488.2,9006.4,8880.8,8993.8,8904.4
0.498,11711.0,10992.0,12603.0,14488.2,9006.4,8880.8,8993.8,8904.4
0.499,11644.4,10981.2,12521.2,14444.2,9006.4,8880.8,8993.8,8904.4
0.514,11639.0,10981.2,12448.4,14444.2,9006.4,8880.8,8993.8,8904.4
0.515,11639.0,10961.2,12417.4,14436.4,9006.4,8880.8,8993.8,8903.6
0.53,11637.0,10949.6,12411.6,14436.4,9006.4,8880.8,8993.8,8902.2
0.531,11637.0,10949.6,12411.6,14436.4,9006.4,8880.8,8988.8,8902.2
0.546,11612.2,10949.4,12384.0,14436.4,9006.4,8880.8,8977.0,8902.0
0.561,11612.2,10949.4,12310.2,14402.6,9006.4,8880.8,8977.0,8902.0
0.562,11612.2,10949.4,12278.0,14402.6,9006.4,8880.8,8977.0,8902.0
0.576,11612.2,10949.4,12242.4,14402.6,9006.4,8880.8,8977.0,8902.0
0.577,11612.2,10943.2,12207.8,14402.6,9001.2,8880.2,8977.0,8901.6
0.592,11604.6,10943.2,12184.8,14402.6,9001.2,8880.2,8977.0,8901.4
0.593,11604.6,10943.2,12184.8,14402.6,9001.2,8880.2,8977.0,8900.8
0.608,11604.6,10940.0,12168.4,14402.6,9001.2,8879.4,8977.0,8900.8
0.624,11603.2,10940.0,12168.4,14379.0,9000.2,8879.4,8975.8,8900.2
0.624,11603.2,10940.0,12168.4,14379.0,9000.2,8879.4,8975.8,8900.0
0.639,11603.2,10933.4,12119.8,14367.8,9000.2,8878.8,8975.8,8900.0
0.639,11603.2,10909.6,12119.8,14367.8,9000.2,8878.4,8975.8,8900.0
0.64,11603.2,10905.2,12111.0,14367.8,9000.2,8878.4,8975.8,8899.8
0.654,11603.2,10905.2,12059.4,14367.8,9000.2,8878.4,8975.8,8899.8
0.655,11598.4,10905.2,12042.6,14361.6,8999.4,8878.0,8975.2,8897.8
0.656,11598.4,10903.6,12042.6,14361.6,8999.4,8878.0,8975.2,8897.8
0.67,11565.2,10903.6,11987.6,14361.6,8999.4,8878.0,8972.4,8897.8
0.671,11565.2,10903.6,11987.0,14361.6,8999.4,8878.0,8972.4,8897.0
0.671,11565.2,10903.6,11987.0,14361.6,8999.4,8878.0,8972.4,8896.8
0.686,11565.2,10903.6,11952.6,14361.6,8999.4,8877.6,8972.4,8896.8
0.702,11550.6,10893.4,11952.6,14361.6,8999.4,8877.6,8972.4,8893.0
0.717,11550.6,10886.4,11952.6,14361.6,8999.4,8877.6,8972.4,8893.0
0.718,11550.6,10886.4,11952.6,14361.6,8999.4,8877.0,8972.4,8893.0
0.732,11550.6,10886.4,11902.2,14361.6,8999.4,8877.0,8972.4,8893.0
0.733,11466.8,10886.4,11873.8,14338.2,8999.4,8876.8,8972.0,8891.6
0.749,11466.8,10881.6,11873.8,14338.2,8999.4,8875.8,8972.0,8891.2
0.764,11450.2,10873.4,11867.0,14338.2,8999.4,8875.8,8972.0,8890.6
0.765,11450.2,10873.4,11867.0,14311.2,8999.4,8875.8,8972.0,8890.6
0.78,11450.2,10860.6,11783.8,14311.2,8994.4,8872.6,8972.0,8886.6
0.795,11450.2,10860.6,11743.4,14289.4,8994.4,8872.6,8972.0,8883.4
0.796,11442.4,10860.6,11743.4,14289.4,8994.4,8872.6,8970.4,8882.4
0.811,11442.4,10860.6,11716.2,14289.4,8994.4,8872.6,8970.4,8881.8
0.811,11442.4,10860.6,11716.2,14289.4,8994.4,8872.6,8970.4,8880.6
0.812,11442.4,10852.6,11716.2,14289.4,8994.4,8872.6,8969.4,8880.6
0.826,11442.4,10852.6,11716.2,14263.0,8994.4,8872.6,8957.2,8879.2
0.827,11438.2,10848.0,11716.2,14263.0,8994.4,8872.0,8957.2,8878.8
0.842,11438.2,10848.0,11686.4,14253.2,8994.4,8871.2,8957.2,8876.6
0.843,11438.2,10848.0,11686.4,14253.2,8994.4,8871.2,8951.0,8876.6
0.858,11438.2,10848.0,11684.2,14249.0,8994.4,8867.8,8951.0,8875.0
0.873,11438.2,10848.0,11684.2,14249.0,8994.4,8867.8,8951.0,8873.8
0.874,11438.2,10848.0,11684.2,14245.6,8994.4,8866.8,8951.0,8873.8
0.889,11438.2,10848.0,11684.2,14245.6,8994.4,8866.2,8951.0,8873.8
0.904,11438.2,10848.0,11603.0,14245.6,8994.4,8866.0,8951.0,8873.8
0.905,11396.2,10848.0,11603.0,14234.6,8994.4,8866.0,8951.0,8873.8
0.92,11396.2,10848.0,11603.0,14234.6,8994.4,8864.6,8951.0,8872.6
0.936,11396.2,10840.8,11603.0,14193.0,8994.4,8864.6,8951.0,8872.6
0.951,11396.2,10840.8,11550.2,14193.0,8994.4,8864.0,8951.0,8872.6
0.951,11396.2,10840.8,11550.2,14193.0,8994.4,8861.6,8951.0,8872.6
0.952,11396.2,10840.8,11548.2,14193.0,8994.4,8861.0,8951.0,8872.6
0.967,11396.2,10828.6,11525.0,14193.0,8994.0,8861.0,8946.6,8872.4
0.983,11396.2,10828.6,11525.0,14193.0,8994.0,8861.0,8946.6,8872.2
0.998,11396.2,10828.6,11457.2,14193.0,8994.0,8861.0,8946.6,8872.2
